Category,Location,Investors
Technology,Noida,Tiger Global
E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel"
Technology,Mumbai,Village Capital
Technology,Bengaluru,Village Capital
Technology,Bengaluru,Aamir Khan
Technology,Delhi,HT Media
Technology,Bengaluru,Hyderabad Angels
Technology,Hyderabad,Accel Partners
E-Commerce,Gurgaon,Munesh Khanna
Technology,Pune,Canaan Partners
Technology,Mumbai,Rakesh Jhunjhunwala
Technology,Bengaluru,Bessemer Venture Partners
Technology,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre"
E-Commerce,Bengaluru,RB Investments
Technology,Bengaluru,Matrix Partners
Technology,Gurgaon,RoundGlass Partners LLC
E-Commerce,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments"
Technology,Delhi,Mumbai Angels Network
E-Commerce,Mumbai,"Mountain Pain Capital, Suncoast Investments"
E-Commerce,Delhi,
Technology,Noida,InsuResillience Investment Fund
Technology,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal"
Technology,Mumbai,Unilever Ventures
Technology,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh"
Technology,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel"
Finance,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'"""
Technology,Mumbai,Omidyar Network
E-Commerce,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments"
E-Commerce,Uttar Pradesh,Venture Catalysts
E-Commerce,Chennai,Eight Roads Ventures India
E-Commerce,Noida,Gaurav Gupta
Technology,Hyderabad,Jones Lang LaSalle
Finance,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma"
Technology,Pune,CIO Angel Network
ECommerce,Bangalore,Jayant Humbarwadi
Technology,Bangalore,Undisclosed Investors
Consumer Internet,Mumbai,"Kae Capital Management, Nazara Technologies"
Technology,Bangalore,Venture Catalysts
Technology,Bangalore,IDG Ventures India
Technology,Bangalore,IDG Ventures India
ECommerce,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke"
Technology,New Delhi,Infosys co-founder Kris Gopalakrishnan
Technology,Mumbai,"Matrix Partners India, Khosla Ventures"
Technology,Bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm"
Technology,Bangalore,Lumis Partners
Finance,Bangalore,Quona Capital Management
eCommerce,Mumbai,"Pioneering Ventures, Syngenta AG"
Technology,Bangalore,"Axilor Ventures, Kumar Vembu"
Technology,Delhi,Info Edge
Technology,Bangalore,Matrix Partners
Technology,Bangalore,"IDG Ventures, IDFC-Parampara Fund"
Technology,Bangalore,"Singtel, Innov8, Harmony Partners"
ECommerce,Nw Delhi,Wipro Consumer Care
ECommerce,Mumbai,Accel Partners
Ecommerce,Gurgaon,GAIL India Ltd
Technology,Bangalore,Vertex Ventures
Technology,Bangalore,Undisclosed Investors
Health Care,Bangalore,Rugmini Menon
Technology,Delhi,Omidyar Network
Inspiration,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana"
Technology,New Delhi,"Nishit Sharma, Alok Srivastava"
Inspiration,Hyderabad,Undisclosed Investors
Technology,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)"
Technology,Mumbai,Z Nation Lab
Technology,Hyderabad,"Skycatcher Fund, Aravind Sanka"
Technology,Mumbai,"Notion Capital, IDG Ventures"
Technology,Mumbai,1Crowd
Technology,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani"
Healthcare,Bangalore,"Sabre Partners, MEMG CDC"
Technology,Mumbai,Paytm
Finance,Mumbai,Global Institutional Investors
Technology,Bangalore,Axilor Ventures
Storytelling,Indore,Sandeep Aggarwal
Finance,Bangalore,Uniliver Ventures
Technology,Goa,Javelin StartupO Victory Fund
Finance,Mumbai,Undisclosed investors
Technology,Mumbai,Amit Patni
Technology,Mumbai,Sixth Sense Ventures
Lifestyle,Bangalore,Gaja Capital
Technology,Chennai,IFMR Capital
Healthcare,Goa,"NB Ventures, MediAssist"
Technology,Delhi,"Matrix PArtners, Accel"
Consumer Internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha"
Consumer Internet,Mumbai,Venture Catalysts
Consumer Internet,Bangalore,"Tencent, Softbank Group"
Consumer Internet,Bangalore,Digital Garage
Consumer Internet,Bangalore,Sprout Angels
Consumer Internet,Bangalore,Flipkart
Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network"
Technology,Mumbai,Globevestor
ECommerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext"
ECommerce,New Delhi,Carpediem Capital
Technology,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others"
Consumer Internet,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm"
Consumer Internet,Bangalore,"Das Capital, Simile Ventures"
Technology,Gurgaon,Daffodil Software
eCommerce,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy"
Technology,Bangalore,Shailesh Haribhakti
Consumer Internet,Bangalore,Aequs Group
Technology,New Delhi,Orient BlackSwan
Technology,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities"
Technology,Gurgaon,"Multipoint Capital,"
Consumer Internet,Gurgaon,Saama Capital and DSG Consumer Partners
ECommerce,Bangalore,"SAIF Partners, YCombinator, Venture Highway"
Logistics,Hyderabad,KStart Capital
Technology,Hyderabad,Undisclosed investors
Consumer Internet,Gurgaon,"Wellington Management, DG Ventures India, True North"
Consumer Internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur"
eCommerce,Gurgaon,Tiger Global Management
Consumer Internet,Bangalore,"Xiaomi Technologies, Shunwei Capital"
Consumer Internet,New Delhi,Amicus Capital
Consumer Internet,Bangalore,"Accel Partners, Zephyr Peacock"
Consumer Internet,Chennai,Experian
Technology,Chennai,"Nexus, GREE Ventures"
Logistics,Bangalore,Innoven Capital
Consumer Internet,Mumbai,Undisclosed Investor
Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management"
Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital"
Consumer Internet,Mumbai,IFMR Capital
Consumer Internet,Kolkata,Rockstart Accelerator
Technology,Bangalore,"Indian Angel network, IAN Fund"
Food & Beverage,Mumbai,Venture Catalysts
Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh"
Consumer Internet,Bangalore,"Blume Ventures, Indian Angel Network"
Food & Beverage,Mumbai,Greenfield Advisory
Consumer Internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora"
Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments"
eCommerce,Bangalore,Helion Ventures Partners
Technology,Gurgaon,Kotak Mahindra Bank
Technology,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary"
Technology,New Delhi,Y Combinator
Consumer Internet,Bangalore,ANI Technologies Pvt. Ltd
Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures
ECommerce,Chennai,TannCam Investment & Sistema Asia Fund
Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala"
eCommece,Chennai,YourNest Angel Fund
Consumer Internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA"
Consumer Internet,Mumbai,InfoEdge
Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures"
Consumer Internet,Bangalore,"SRI Capital, BeeNext, Pravega Ventures"
Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra"
Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital"
Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip"
Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures"
eCommerce,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,"
Consumer Internet,Mumbai,Matrix Partners
Consumer Internet,Bangalore,V Balakrishnan.
Consumer Internet,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise"
Consumer Internet,Pune,IFMR Capital
eCommerce,Gurgaon,Fireside Ventures
eCommerce,Pune,RPG Enterprises
Consumer Internet,New Delhi,"Triodos Investment Management,"
Technology,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,"
Logistics,New Delhi,Warburg Pincus
Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand"
eCommerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar"
Consumer Internet,New Delhi,Undisclosed Investor
Technology,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures"
Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network"
Technology,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana"
Consumer Internet,Bangalore,"Accel Partners,"
Consumer Internet,Gurgaon,China Lodging Group
Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,"
Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others"
Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,"
Technology,Mumbai,ECL Finance
Consumer Portal,Bangalore,Y Combinator
Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa"
eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital"
Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna"
Technology,Hyderabad,Susquehanna Growth Equity LLC
Healthcare,Mumbai,Undisclosed Investors
Finance,Gaya,Incofin Investment Management.
Consumer Internet,New Delhi,AdvantEdge
Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour"
eCommerce,Bangalore,LG Chandrasekhar
eCommerce,Gurgaon,InnoVen Capital India
Technology,Bangalore,InnoVen Capital
Consumer Internet,Bangalore,AV Thomas Group
Technology,Bangalore,"Vertex Ventures, Prime Venture Partners."
Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd
Technology,Bangalore,Beenext
Consumer Internet,Bangalore,Battery Road Digital Holdings LLC
Consumer Internet,Mumbai,Mehul Shah
Consumer Internet,Bangalore,Kae Capital
Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl"
Consumer Internet,Bangalore,"Aniruddha Malpani, Startup Oasis"
Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network."
Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg"
Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg"
Consumer Internet,Gurgaon,"Rivergate Capital,"
Consumer Internet,New Delhi,LetsVenture
Technology,Bangalore,Keiretsu Forum
Technology,Bangalore,Kae Capital
Technology,Mumbai,Triton Investment Advisors
Consumer Internet,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose"
Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal"
Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle"
Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.
Consumer Internet,Jaipur,Rajasthan Angel Investor Network
Consumer Internet,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India"
Consumer Internet,Mumbai,SIDBI
Technology,New Delhi,JSW Ventures
eCommerce,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,"
Logistics,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments"
Healthcare,Chennai,Anicut Capital
Technology,Chennai,Undisclosed investors
Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others"
Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others"
Technology,Gurgaon,Factor[e] Ventures
Consumer Internet,Bangalore,Tom Varkey
Consumer Internet,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,"
eCommerce,Bangalore,Softbank
Technology,New Delhi,Nazara Games
Consumer Internet,Gurgaon,Tekne Capital Management
Consumer Internet,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),"
Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd"
Consumer Internet,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj"
Consumer Internet,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP"
eCommerce,New Delhi,"Abhinav Gupta,"
Technology,Chennai,IDG Ventures
Consumer Internet,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s
Consumer Internet,Mumbai,"iSquare Global,"
Consumer Internet,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora"
Consumer Internet,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG)
Technology,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital"
eCommerce,New Delhi,Fireside Ventures
Technology,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,"
Technology,Bangalore,Haresh Chawla
Technology,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,"
Consumer Internet,Chennai,"VAMM Ventures, Raksul, Dena"
Consumer Internet,Bangalore,"PBS Srinivas, Vinod Martin,"
Technology,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro."
Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund"
Technology,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others"
Technology,Gurgaon,Small Industries Development Bank of India (SIDBI)
Consumer Internet,Bangalore,"Ward Ferry Management and Karst Peak Capital,"
Technology,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,"
Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd
Technology,Ahmedabad,"Infuse Ventures, JLL"
eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc"
eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors"
eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway"
Consumer Internet,Mumbai,BCCL
Technology,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs"
Consumer Internet,Gurgaon,
Consumer Internet,Bangalore,"India Quotient, Shunwei Capital"
Consumer Internet,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures"
Technology,Hyderabad,Mitsui & Co.
Consumer Internet,Pune,Dunamis Ventures Pte Ltd
Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures"
Consumer Internet,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital"
Technology,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures"
Logistics,Hyderabad,"Corvus Ventures, MAPE Advisory Group"
Technology,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta"
Technology,Pune,Indian Angel Network
Technology,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen"
eCommerce,Bangalore,Blacksoil Capital Pvt. Ltd
Technology,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das"
Technology,Pune,"IDG Ventures India Advisors, Jungle Ventures"
Technology,Noida,One97 Communication Ltd
Consumer Internet,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP"
Consumer Internet,Kolkata,Xelpmoc
Technology,Bangalore,Kae Capital
Consumer Internet,Bangalore,"ain Capital Ventures, Renaud Laplanche"
Consumer Internet,Bangalore,Francesco Cara
Technology,Bangalore,ABI-Showatech (India) Ltd
Technology,Gurgaon,"Kae Capital, M&S Partners,"
eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others"
eCommerce,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others"
Technology,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan"
Consumer Internet,Bangalore,"Blume Ventures, NB Ventures, Nspira"
Consumer Internet,Bangalore,"Stellaris Venture Partners,"
Consumer Internet,Bangalore,Tencent Holdings
Others,New Delhi,Yuvraj Singh
Consumer Internet,New Delhi,Goldman Sachs
Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra"
eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital"
Consumer Internet,Mumbai,Amen Dhyllon
Consumer Internet,Mumbai,Info Edge (India) Ltd
Consumer Internet,Bangalore,RoundGlass Partners
Technology,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors"
eCommerce,Bangalore,TVS Motor Company
Consumer Internet,Mumbai,Emerging India
Consumer Internet,Mumbai,"lockchain ecosystem Global Advisors, Horseferry"
eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon"
Consumer Internet,Kolkata,"Arun Patodia, Bharat Kedia"
Consumer Internet,Mumbai,"500 Startups, IvyCap Ventures"
Consumer Internet,Bangalore,Blume Ventures
Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan"
Consumer Internet,New Delhi,Sundaram Finance Holdings
Consumer Internet,Gurgaon,SBI (Stand Up India Scheme)
Consumer Internet,New Delhi,WaterBridge Ventures
Consumer Internet,Mumbai,SQue Capital
Consumer Internet,Hyderabad,Bodhtree Consulting Limited
Technology,Hyderabad,Norwest Venture Partners
Technology,Bangalore,Norwest Venture Partners
Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha"
Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao"
Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala"
Consumer Internet,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,"
Consumer Internet,Ahmedabad,Yes Bank
Technology,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava"
Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures"
Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham"
Consumer Internet,Mumbai,Transamerica
Technology,New Delhi,"Nexus Venture Partners, Founders Fund"
Technology,Bangalore,"Nexus Venture Partners, Omidyar Network"
Technology,Bangalore,Fairfax Holdings
Consumer Internet,Bangalore,Tekne Capital Management LLC
Consumer Internet,Mumbai,RB Investments
Consumer Internet,Noida,undisclosed investors
Consumer Internet,Bangalore,"Sequoia India, NEA, Prime Venture Partners"
