Category,Location,Investors
Finance,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George"
Consumer Internet,Gurugram,Rannvijay Singha
Consumer Internet,Bengaluru,Brand Capital
Technology,Mumbai,Helix Investments
Healthcare,Chandigarh,Lighthouse Funds & Thuasne Participations
IT,Delhi & Cambridge,Hyperplane Venture Capital and several angel investors
Ed-Tech,Pune,Menterra Venture & Artha Initiatives
Consumer Internet,Bengaluru,"Shorooq Investments, LetsVenture & Others"
Finance,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others."
Consumer Internet,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa"
Consumer Internet,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd
Consumer Internet,Bengaluru,Diageo India
Finance,Gurugram,Equanimity Venture Fund
Technology,Noida,One 97 Communications
Healthcare,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal"
Technology,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust
Technology,Bengaluru,Speciale Invest & Others
Ed-Tech,Bengaluru,Leo Capital
Technology,Kolkatta,Shiva Gunapu & Others
Finance,Chennai,Unknown High Net-Worth Individuals
Consumer Internet,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures"
IT,Chennai,"IL&FS Private Equity, Kae Capital & Others"
Consumer Internet,Mumbai,
Technology,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala"
Consumer Internet,Pune,Rairah Corporation
Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others"
Healthcare,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal"
Technology,Bengaluru,Blume ventures
Technology,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures"
Finance,Bengaluru,Credika and unnamed angel investors
Consumer Internet,Bengaluru,LetsVenture
E-Commerce,Bengaluru,RS Shanbag
Finance,Kolkata,"Insistor, Oikocredit"
Ed-tech,Delhi,"Ashish Kacholi, S Chand Group"
Clean-tech,Delhi,Atul Gupta and Saurabh Rastogi
Consumer Internet,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy."
Healthcare,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd"
Consumer Internet,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs"
Technology,Bengaluru,Amazon Inc. and Mastercard
Consumer Internet,Bengaluru,Treebo
Technology,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT"
